symbol,name,sector,effective_from,effective_to,source
AKBNK.IS,AKBANK T.A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ALARK.IS,ALARKO HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ALTNY.IS,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,TEKNOLOJİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ARCLK.IS,ARÇELİK A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,TEKNOLOJİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ASTOR.IS,ASTOR ENERJİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BALSU.IS,BALSU GIDA SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BTCIM.IS,BATIÇİM BATI ANADOLU SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BSOKE.IS,BATIÇİM ÇİMENTO SANAYİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BERA.IS,BERA HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,TOPTAN VE PERAKENDE TİCARET,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BRSAN.IS,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,MADENCİLİK VE TAŞ OCAKÇILIĞI,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
CANTE.IS,ÇAN2 TERMİK A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,İNŞAAT VE BAYINDIRLIK,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
DSTKF.IS,DESTEK FİNANS FAKTORİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,TOPTAN VE PERAKENDE TİCARET,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
EFOR.IS,EFOR YATIRIM SANAYİ TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ENJSA.IS,ENERJİSA ENERJİ A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ENERY.IS,ENERYA ENERJİ A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.,İNŞAAT VE BAYINDIRLIK,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
FENER.IS,FENERBAHÇE FUTBOL A.Ş.,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
GSRAY.IS,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,TOPTAN VE PERAKENDE TİCARET,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
